order_id,order_date,ship_date,region,state,category,sub_category,product_name,sales,quantity,discount,profit
a075480d-a9d2-41ac-baa6-e1f3aeaf435b,8/2/2023,8/3/2023,East,Ohio,Furniture,Chairs,Chairs manager,311.28,4,0.05,244.33
0a503659-9020-4250-9f16-d90333b959b7,3/2/2020,3/3/2020,South,California,Furniture,Tables,Tables prime,530.09,1,0.2,243.01
c52e304a-de0f-48ec-9c74-646bf379ba66,4/21/2023,4/25/2023,Central,Illinois,Furniture,Tables,Tables small,713.23,6,0.1,328.97
1552a5c6-465d-4f4a-92d3-bfab478cfbb8,2/17/2022,2/18/2022,East,Ohio,Office Supplies,Pens,Pens small,623.54,1,0.25,356.1
e06d217a-34ef-44c7-a4ad-2981214bb933,2/4/2023,2/8/2023,East,New York,Technology,Copiers,Copiers factor,891.18,6,0.2,405.65
cb95fe3e-0e1c-4122-83d3-5e72eeca93a3,5/2/2024,5/6/2024,Central,Florida,Furniture,Tables,Tables popular,873.16,7,0.1,538.66
e0e486b2-c524-4419-a80a-0d5c6a0df5b8,12/28/2021,12/31/2021,West,Florida,Technology,Phones,Phones prime,716.73,2,0.2,483.3
0c60686e-14ea-44a1-bac5-8af8893547a1,2/16/2022,2/20/2022,East,California,Technology,Copiers,Copiers manager,579.1,6,0.3,404.9
31ec8abd-83e4-4648-bd7b-d830a0da6a6a,7/6/2024,7/11/2024,South,Ohio,Office Supplies,Pens,Pens prime,112.88,10,0.25,56.6
bd15124f-aa79-401d-b59c-18e1ae5d1ab3,10/19/2020,10/23/2020,South,Ohio,Furniture,Tables,Tables popular,757.74,9,0.1,583.7
4c94fcdc-4d8d-4b09-ba63-05777bb367d8,3/25/2021,3/27/2021,West,Ohio,Technology,Phones,Phones plus,136.36,1,0.3,53.35
51725fae-1e7d-4a3a-8a25-af540d4333c6,5/10/2020,5/16/2020,East,Illinois,Office Supplies,Binders,Binders elite,996.32,9,0.1,884.12
d152cfc2-e1b2-45f8-be75-c4253d46cea3,3/17/2024,3/21/2024,Central,Florida,Technology,Phones,Phones elite,155.97,7,0.05,98.78
8110bdaa-d627-4454-859a-30835c33e92a,8/5/2020,8/15/2020,West,New York,Office Supplies,Binders,Binders plus,532.28,4,0.05,314.32
8b0b861a-d61a-4d26-b795-61e30b710bf9,10/25/2021,11/1/2021,East,Illinois,Furniture,Tables,Tables prime,932.64,5,0.05,392.7
ea3056ef-cb04-444a-91e0-b599bb9e606b,7/29/2024,7/30/2024,South,California,Technology,Accessories,Accessories elite,171.97,8,0.2,75.97
